glucose,hormone,pct_b,pct_s,ir
3.0,0.2,151.8,272.6,0.3668378576669112
3.0,0.365,226.1,149.4,0.6693440428380187
3.0,0.53,289.8,102.9,0.9718172983479105
3.0,0.695,347.3,78.5,1.2738853503184713
3.0,0.86,400.6,63.5,1.5748031496062993
3.0,1.025,450.8,53.3,1.876172607879925
3.0,1.19,498.5,45.9,2.178649237472767
3.0,1.355,544.3,40.3,2.481389578163772
3.0,1.52,588.3,36.0,2.7777777777777777
3.0,1.685,631.0,32.5,3.076923076923077
3.0,1.85,672.5,29.6,3.378378378378378
3.0,2.015,712.9,27.2,3.6764705882352944
3.0,2.18,752.3,25.1,3.98406374501992
3.0,2.345,790.9,23.4,4.273504273504273
3.0,2.51,828.7,21.8,4.587155963302752
3.0,2.675,865.8,20.5,4.878048780487805
3.0,2.84,902.2,19.3,5.181347150259067
3.0,3.005,938.1,18.3,5.46448087431694
3.0,3.17,973.4,17.3,5.780346820809248
3.0,3.335,1008.2,16.5,6.0606060606060606
3.0,3.5,1042.6,15.7,6.369426751592357
4.1,0.2,81.0,242.9,0.41169205434335115
4.1,0.365,121.2,133.2,0.7507507507507508
4.1,0.53,155.8,91.8,1.0893246187363834
4.1,0.695,187.3,70.0,1.4285714285714286
4.1,0.86,216.7,56.6,1.7667844522968197
4.1,1.025,244.4,47.5,2.1052631578947367
4.1,1.19,270.9,41.0,2.4390243902439024
4.1,1.355,296.4,36.0,2.7777777777777777
4.1,1.52,321.1,32.1,3.115264797507788
4.1,1.685,345.0,29.0,3.4482758620689653
4.1,1.85,368.3,26.4,3.787878787878788
4.1,2.015,391.1,24.2,4.132231404958678
4.1,2.18,413.4,22.4,4.464285714285714
4.1,2.345,435.3,20.9,4.784688995215311
4.1,2.51,456.8,19.5,5.128205128205129
4.1,2.675,478.0,18.3,5.46448087431694
4.1,2.84,498.8,17.2,5.813953488372094
4.1,3.005,519.4,16.3,6.134969325153374
4.1,3.17,539.7,15.5,6.451612903225806
4.1,3.335,559.7,14.7,6.802721088435375
4.1,3.5,579.6,14.0,7.142857142857143
5.2,0.2,50.5,224.0,0.44642857142857145
5.2,0.365,75.9,122.8,0.8143322475570033
5.2,0.53,98.0,84.6,1.182033096926714
5.2,0.695,118.2,64.6,1.5479876160990713
5.2,0.86,137.2,52.2,1.9157088122605364
5.2,1.025,155.2,43.8,2.2831050228310503
5.2,1.19,172.4,37.8,2.6455026455026456
5.2,1.355,189.1,33.2,3.012048192771084
5.2,1.52,205.3,29.6,3.378378378378378
5.2,1.685,221.1,26.7,3.7453183520599254
5.2,1.85,236.5,24.4,4.0983606557377055
5.2,2.015,251.7,22.4,4.464285714285714
5.2,2.18,266.5,20.7,4.830917874396135
5.2,2.345,281.2,19.3,5.181347150259067
5.2,2.51,295.6,18.0,5.555555555555555
5.2,2.675,309.8,16.9,5.91715976331361
5.2,2.84,323.8,15.9,6.289308176100628
5.2,3.005,337.7,15.1,6.622516556291391
5.2,3.17,351.5,14.3,6.9930069930069925
5.2,3.335,365.1,13.6,7.352941176470589
5.2,3.5,378.6,13.0,7.6923076923076925
6.3,0.2,34.6,210.6,0.4748338081671415
6.3,0.365,52.3,115.5,0.8658008658008658
6.3,0.53,67.9,79.6,1.256281407035176
6.3,0.695,82.2,60.7,1.6474464579901154
6.3,0.86,95.7,49.1,2.0366598778004072
6.3,1.025,108.6,41.2,2.4271844660194173
6.3,1.19,121.1,35.5,2.816901408450704
6.3,1.355,133.1,31.2,3.2051282051282053
6.3,1.52,144.9,27.9,3.5842293906810037
6.3,1.685,156.4,25.2,3.9682539682539684
6.3,1.85,167.7,22.9,4.366812227074236
6.3,2.015,178.9,21.1,4.739336492890995
6.3,2.18,189.8,19.5,5.128205128205129
6.3,2.345,200.7,18.1,5.524861878453038
6.3,2.51,211.4,16.9,5.91715976331361
6.3,2.675,221.9,15.9,6.289308176100628
6.3,2.84,232.4,15.0,6.666666666666667
6.3,3.005,242.8,14.2,7.042253521126761
6.3,3.17,253.2,13.5,7.407407407407407
6.3,3.335,263.4,12.8,7.8125
6.3,3.5,273.6,12.2,8.196721311475411
7.4,0.2,25.3,200.2,0.4995004995004995
7.4,0.365,38.5,109.8,0.9107468123861566
7.4,0.53,50.2,75.7,1.321003963011889
7.4,0.695,61.1,57.7,1.7331022530329288
7.4,0.86,71.4,46.7,2.141327623126338
7.4,1.025,81.3,39.2,2.5510204081632653
7.4,1.19,90.9,33.8,2.958579881656805
7.4,1.355,100.3,29.7,3.367003367003367
7.4,1.52,109.4,26.5,3.7735849056603774
7.4,1.685,118.5,23.9,4.184100418410042
7.4,1.85,127.3,21.8,4.587155963302752
7.4,2.015,136.1,20.0,5.0
7.4,2.18,144.8,18.5,5.405405405405405
7.4,2.345,153.4,17.2,5.813953488372094
7.4,2.51,161.9,16.1,6.211180124223602
7.4,2.675,170.4,15.1,6.622516556291391
7.4,2.84,178.8,14.3,6.9930069930069925
7.4,3.005,187.1,13.5,7.407407407407407
7.4,3.17,195.4,12.8,7.8125
7.4,3.335,203.7,12.2,8.196721311475411
7.4,3.5,212.0,11.6,8.620689655172415
8.5,0.2,19.4,191.5,0.5221932114882507
8.5,0.365,29.8,105.0,0.9523809523809523
8.5,0.53,39.0,72.4,1.3812154696132595
8.5,0.695,47.7,55.3,1.8083182640144666
8.5,0.86,55.9,44.7,2.237136465324385
8.5,1.025,63.9,37.5,2.6666666666666665
8.5,1.19,71.7,32.4,3.0864197530864197
8.5,1.355,79.4,28.4,3.5211267605633805
8.5,1.52,86.9,25.4,3.937007874015748
8.5,1.685,94.3,22.9,4.366812227074236
8.5,1.85,101.6,20.9,4.784688995215311
8.5,2.015,108.9,19.2,5.208333333333334
8.5,2.18,116.1,17.8,5.617977528089887
8.5,2.345,123.3,16.5,6.0606060606060606
8.5,2.51,130.4,15.4,6.4935064935064934
8.5,2.675,137.5,14.5,6.896551724137931
8.5,2.84,144.6,13.7,7.299270072992701
8.5,3.005,151.7,12.9,7.751937984496124
8.5,3.17,158.7,12.3,8.130081300813007
8.5,3.335,165.8,11.7,8.547008547008547
8.5,3.5,172.8,11.1,9.00900900900901
9.6,0.2,15.4,184.0,0.5434782608695652
9.6,0.365,23.8,100.9,0.9910802775024776
9.6,0.53,31.4,69.6,1.4367816091954024
9.6,0.695,38.6,53.1,1.8832391713747645
9.6,0.86,45.5,43.0,2.3255813953488373
9.6,1.025,52.2,36.1,2.7700831024930745
9.6,1.19,58.8,31.1,3.215434083601286
9.6,1.355,65.2,27.3,3.663003663003663
9.6,1.52,71.6,24.4,4.0983606557377055
9.6,1.685,78.0,22.0,4.545454545454546
9.6,1.85,84.3,20.1,4.975124378109452
9.6,2.015,90.5,18.5,5.405405405405405
9.6,2.18,96.8,17.1,5.847953216374268
9.6,2.345,103.0,15.9,6.289308176100628
9.6,2.51,109.2,14.9,6.7114093959731544
9.6,2.675,115.4,14.0,7.142857142857143
9.6,2.84,121.7,13.2,7.575757575757576
9.6,3.005,127.9,12.4,8.064516129032258
9.6,3.17,134.1,11.8,8.47457627118644
9.6,3.335,140.3,11.2,8.928571428571429
9.6,3.5,146.5,10.7,9.345794392523365
10.7,0.2,12.6,177.1,0.564652738565782
10.7,0.365,19.7,97.1,1.0298661174047374
10.7,0.53,26.1,67.0,1.492537313432836
10.7,0.695,32.2,51.1,1.9569471624266144
10.7,0.86,38.1,41.4,2.4154589371980677
10.7,1.025,43.9,34.7,2.881844380403458
10.7,1.19,49.6,29.9,3.3444816053511706
10.7,1.355,55.3,26.3,3.802281368821293
10.7,1.52,60.9,23.5,4.25531914893617
10.7,1.685,66.5,21.2,4.716981132075472
10.7,1.85,72.0,19.3,5.181347150259067
10.7,2.015,77.6,17.8,5.617977528089887
10.7,2.18,83.2,16.4,6.097560975609756
10.7,2.345,88.7,15.3,6.5359477124183005
10.7,2.51,94.3,14.3,6.9930069930069925
