glucose,hormone,pct_b,pct_s,ir
3.0,20,150.3,276.9,0.361141206211629
3.0,34,212.9,163.6,0.6112469437652812
3.0,48,266.9,116.5,0.8583690987124464
3.0,62,315.6,90.6,1.1037527593818985
3.0,76,360.6,74.2,1.3477088948787062
3.0,90,402.7,63.0,1.5873015873015872
3.0,104,442.6,54.8,1.8248175182481752
3.0,118,480.5,48.5,2.0618556701030926
3.0,132,516.8,43.5,2.2988505747126435
3.0,146,551.7,39.5,2.5316455696202533
3.0,160,585.4,36.2,2.762430939226519
3.0,174,618.0,33.5,2.985074626865672
3.0,188,649.6,31.1,3.215434083601286
3.0,202,680.3,29.1,3.4364261168384878
3.0,216,710.2,27.3,3.663003663003663
3.0,230,739.3,25.8,3.875968992248062
3.0,244,767.7,24.4,4.0983606557377055
3.0,258,795.5,23.2,4.310344827586207
3.0,272,822.6,22.1,4.524886877828054
3.0,286,849.2,21.1,4.739336492890995
3.0,300,875.2,20.2,4.9504950495049505
4.1,20,80.2,246.8,0.4051863857374392
4.1,34,114.0,145.9,0.6854009595613434
4.1,48,143.3,103.8,0.9633911368015414
4.1,62,170.0,80.8,1.2376237623762376
4.1,76,194.6,66.2,1.510574018126888
4.1,90,217.8,56.2,1.779359430604982
4.1,104,239.8,48.8,2.0491803278688527
4.1,118,260.8,43.3,2.309468822170901
4.1,132,281.0,38.8,2.577319587628866
4.1,146,300.5,35.3,2.8328611898017
4.1,160,319.3,32.3,3.0959752321981426
4.1,174,337.5,29.9,3.3444816053511706
4.1,188,355.3,27.8,3.597122302158273
4.1,202,372.5,26.0,3.8461538461538463
4.1,216,389.4,24.4,4.0983606557377055
4.1,230,405.8,23.0,4.3478260869565215
4.1,244,421.9,21.8,4.587155963302752
4.1,258,437.6,20.7,4.830917874396135
4.1,272,453.1,19.7,5.0761421319796955
4.1,286,468.2,18.8,5.319148936170213
4.1,300,483.0,18.0,5.555555555555555
5.2,20,49.9,227.5,0.43956043956043955
5.2,34,71.3,134.5,0.7434944237918215
